Sr_no,EDB_ZAMENSKI,oznakaEDB,dejnost,return_no,ID,pol_mz,godinaEMBG,Gross_income,Social_Security_Contributions,Tax_Relief,PDD,NETO,VIDISPLATA1,CALC,NORMIRANI,DANOCNA_OSNOVA
651,7.20E+12,PL,82.2,1,838045,Z,1986,29301,7911,7780,1360,20030,1,1,0,13600
657,3.49E+12,PL,29.31,1,955128,Z,1982,94131,25416,27565,4115,64600,1,1,0,41150
659,3.16E+12,PL,47.11,1,818702,Z,1973,194410,54014,89373,5103,135293,1,1,0,51030
660,1.80E+11,PL,92,1,956509,Z,1968,20507,5537,7456,751,14219,1,1,0,7510
662,5.00E+12,PL,47.19,1,988805,Z,1994,17144,4629,7456,506,12009,1,1,0,5060
663,4.97E+12,PL,84.24,1,856489,M,1991,503708,136002,89373,27834,339872,1,1,0,278340
665,9.58E+12,PL,43.39,1,688605,M,1960,251210,67820,89472,9390,174000,1,1,0,93900
667,7.54E+12,PL,64.19,1,816353,Z,1974,536360,144820,89472,30204,361336,1,1,0,302040
671,1.75E+12,PL,43.99,1,401429,M,1959,274392,74089,96829,10345,189958,1,1,0,103450
674,7.78E+11,PL,41.2,1,756278,M,1990,139159,37991,63115,3807,97361,1,1,0,38070
679,9.15E+12,PL,47.3,1,294308,Z,1981,347842,93916,89373,16455,237471,1,1,0,164550
680,5.54E+12,PL,46.39,1,800089,M,1988,242088,65364,89472,8724,168000,1,1,0,87240
681,7.43E+11,PL,84.22,1,363092,M,1994,535375,144547,89373,30145,360683,1,1,0,301450
683,4.72E+12,PL,85.2,1,283958,Z,1960,428728,115750,89373,22364,290614,1,1,0,223640
687,5.66E+12,PL,49.31,1,976168,Z,1991,119910,32375,52192,3535,84000,1,1,0,35350
693,5.08E+12,PL,85.32,1,919013,Z,1970,428997,115829,89373,22380,290788,1,1,0,223800
695,4.97E+12,PL,84.24,1,172915,M,1992,541223,146130,89373,30571,364522,1,1,0,305710
698,7.39E+12,PL,13.2,1,969641,Z,1994,69732,18828,23893,2701,48203,1,1,0,27010
700,4.62E+12,PL,94.99,1,233305,Z,1980,986005,266223,89472,63032,656750,1,1,0,630320
702,7.90E+12,PL,14.13,1,932194,Z,1966,211091,58145,89472,6346,146600,1,1,0,63460
706,9.02E+12,PL,92,1,989840,Z,1988,38861,10492,14813,1356,27013,1,1,0,13560
707,5.86E+12,PL,84.12,1,325754,Z,1989,113362,30041,37280,4604,78717,1,1,0,46040
709,7.41E+12,PL,15.2,1,971758,Z,1972,44131,13016,20963,1015,30100,1,1,0,10150
710,5.53E+12,PL,46.9,1,861597,M,1985,316728,85510,89373,14187,217031,1,1,0,141870
713,7.00E+12,PL,42.11,1,106485,M,1959,303869,82254,89373,13224,208391,1,1,0,132240
717,3.35E+12,PL,56.1,1,643390,M,1964,205560,55500,89460,6060,144000,1,1,0,60600
718,6.91E+12,PL,47.52,1,981786,M,1996,119665,32311,44381,4296,83058,1,1,0,42960
720,7.46E+12,PL,80.1,1,638559,M,1965,278631,75232,89373,11399,192000,1,1,0,113990
721,8.07E+12,SVD,56.1,1,844746,Z,1954,30193,8910,15048,624,20659,1,1,0,6240
726,3.88E+12,PL,46.35,1,803869,Z,1959,162187,43793,60049,5833,112561,1,1,0,58330
732,6.29E+12,PL,56.1,1,503923,M,1953,105718,28547,43073,3412,73759,1,1,0,34120
733,5.50E+12,PL,36,1,705884,M,1961,416170,112365,89373,21444,282361,1,1,0,214440
734,9.10E+12,PL,84.3,1,84181,M,1957,339711,91727,89373,15863,232121,1,1,0,158630
739,2.33E+12,PL,78.2,1,713294,Z,1962,217727,58793,89373,6954,151980,1,1,0,69540
743,4.67E+12,PL,46.39,1,772555,M,1987,91542,26221,43664,2165,63156,1,1,0,21650
744,3.67E+12,PL,47.71,1,929990,Z,1965,228794,61774,96829,7020,160000,1,1,0,70200
754,6.26E+12,PL,14.13,1,333028,Z,1987,247418,66803,89373,9124,171491,1,1,0,91240
755,2.00E+12,PL,84.25,1,791376,M,1954,394967,106641,89373,19894,268432,1,1,0,198940
757,7.80E+12,PL,85.42,1,717343,M,1954,346814,93629,89373,16386,236799,1,1,0,163860
758,1.84E+12,PL,56.3,1,952433,Z,1998,83697,24052,39652,1999,57646,1,1,0,19990
761,2.47E+12,PL,47.11,1,445953,Z,1965,60964,17590,29626,1374,42000,1,1,0,13740
764,5.29E+11,PL,14.13,1,302439,M,1956,399031,107741,89373,20192,271098,1,1,0,201920
765,2.33E+12,PL,78.2,1,757567,M,1958,228690,61743,59549,10743,156204,1,1,0,107430
766,6.02E+12,PL,46.42,1,104030,M,1964,99126,26766,44736,2760,69600,1,1,0,27600
771,1.01E+12,PL,84.13,1,169522,M,1979,374085,101003,89373,18372,254710,1,1,0,183720
772,2.59E+11,PL,46.73,1,957748,M,1961,132578,35800,57703,3908,92870,1,1,0,39080
776,3.49E+12,PL,29.31,1,469330,M,1994,20331,5490,6101,874,13967,1,1,0,8740
778,6.82E+12,PL,59.11,1,87947,M,1984,191940,53835,89472,4866,133239,1,1,0,48660
781,4.97E+12,PL,84.24,1,566946,M,1969,808673,218343,89373,50096,540234,1,1,0,500960
784,1.04E+12,PL,56.1,1,372793,M,1983,32031,8649,11547,1184,22198,1,1,0,11840
785,1.69E+12,PL,49.41,1,95278,Z,1981,569747,153835,89373,32652,383260,1,1,0,326520
789,2.02E+12,PL,80.2,1,802790,M,1992,155060,44941,74560,3559,106560,1,1,0,35590
794,5.04E+12,PL,43.31,1,985178,M,1978,117404,31699,52192,3353,82352,1,1,0,33530
796,5.86E+12,PL,84.12,1,66408,M,1972,75195,19926,22239,3303,51965,1,1,0,33030
797,8.98E+12,PL,36,1,909936,M,1961,305818,82573,96631,12664,210581,1,1,0,126640
801,7.10E+12,PL,46.43,1,846491,Z,1992,217179,58653,89373,6916,151610,1,1,0,69160
802,1.79E+12,PL,94.99,1,362384,Z,1979,529896,143064,89472,29736,357096,1,1,0,297360
805,8.73E+12,SVD,10.71,1,73968,M,1981,187176,54004,89472,4372,128800,1,1,0,43720
809,2.03E+12,PL,88.91,1,870637,Z,1980,254990,68857,89373,9675,176458,1,1,0,96750
810,7.55E+12,PL,10.51,1,776884,M,1968,162889,43981,29824,8908,110000,1,1,0,89080
811,5.86E+12,PL,84.12,1,324680,M,1966,34463,9131,10811,1452,23880,1,1,0,14520
819,7.06E+11,PL,29.31,1,146087,Z,1975,308829,83385,89373,13606,211838,1,1,0,136060
820,9.98E+12,PL,46.46,1,497265,M,1974,464465,125407,51914,28715,310343,1,1,0,287150
822,3.49E+12,PL,29.31,1,689856,Z,1995,329148,88874,89374,15090,225184,1,1,0,150900
824,28934679817,PL,86.1,1,270430,Z,1973,234445,63302,49382,12175,158968,1,1,0,121750
827,7.43E+11,PL,84.22,1,384807,M,1980,362242,97800,88308,17612,246830,1,1,0,176120
832,5.38E+12,PL,24.2,1,1019147,M,1983,67420,18203,21864,2735,46482,1,1,0,27350
833,A983800689405,PL,49.41,1,961553,M,1981,108500,31073,52192,2520,74907,1,1,0,25200
835,1.62E+12,PL,84.11,1,164318,M,1977,519189,140184,89472,28953,350052,1,1,0,289530
836,9.75E+12,PL,91.02,1,262914,Z,1966,396298,107002,89373,19988,269308,1,1,0,199880
841,5.36E+12,PL,43.11,1,90453,M,1987,219600,59304,89472,7080,153216,1,1,0,70800
842,3.02E+12,PL,93.12,1,650951,M,1974,25195,6802,10457,793,17600,1,1,0,7930
843,9.10E+12,PL,84.3,1,776748,M,1965,495576,133805,89326,27245,334526,1,1,0,272450
849,2.87E+12,PL,10.89,1,346894,M,1976,185263,53858,89373,4205,127200,1,1,0,42050
851,5.86E+12,PL,84.12,1,883392,Z,1985,218626,57938,55643,10507,150181,1,1,0,105070
852,6.59E+12,PL,86.1,1,126935,Z,1967,1062481,286871,89373,68622,706988,1,1,0,686220
853,2.62E+12,PL,86.23,1,546842,Z,1964,356100,96612,89373,17055,242433,1,1,0,170550
854,4.07E+12,PL,43.39,1,97090,Z,1962,369187,99683,74461,19504,250000,1,1,0,195040
857,9.84E+12,PL,47.11,1,570007,Z,1985,246564,69168,89472,8796,168600,1,1,0,87960
858,3.78E+12,PL,46.31,1,296764,M,1966,808350,218249,89373,50075,540026,1,1,0,500750
859,6.68E+11,PL,1.21,1,419646,M,1964,478825,129284,89472,26007,323534,1,1,0,260070
864,2.00E+12,PL,91.02,1,859288,Z,1990,222053,59951,89373,7272,154830,1,1,0,72720
871,7.45E+12,PL,38.11,1,546547,M,1957,172267,49198,81916,4115,118954,1,1,0,41150
873,2.78E+12,PL,43.39,1,768460,Z,1961,262537,70892,89472,10220,181425,1,1,0,102200
874,2.04E+12,PL,90.04,1,817994,M,1955,480280,129680,89373,26122,324478,1,1,0,261220
875,1.08E+12,PL,14.13,1,382117,Z,1982,226684,61536,89373,7578,157570,1,1,0,75780
879,8.07E+12,PL,47.19,1,53833,M,1981,27777,7501,11184,909,19367,1,1,0,9090
880,8.45E+12,PL,47.29,1,524768,Z,1979,205290,55425,89472,6042,143823,1,1,0,60420
882,8.07E+12,PL,69.2,1,613862,M,1961,222706,60130,96829,6576,156000,1,1,0,65760
883,9.79E+12,PL,84.11,1,555013,Z,1982,205137,55388,75577,7417,142332,1,1,0,74170
884,5.90E+12,PL,86.1,1,505177,Z,1985,488811,131982,87598,26924,329905,1,1,0,269240
885,8.50E+12,PL,46.41,1,456981,Z,1986,814394,219888,89472,50506,544000,1,1,0,505060
886,4.97E+12,PL,84.24,1,411625,M,1974,591869,159805,89373,34272,397792,1,1,0,342720
889,2.98E+12,PL,70.22,1,986363,Z,1984,26088,7043,8331,1071,17974,1,1,0,10710
892,4.32E+11,PL,14.12,1,876356,Z,1982,164744,49307,81917,3352,112085,1,1,0,33520
894,3.15E+12,PL,95.29,1,605116,M,1960,207325,55969,89373,6198,145158,1,1,0,61980
895,2.84E+12,PL,K,1,703711,Z,1965,646060,174434,89373,38221,433405,1,1,0,382210
896,3.56E+12,PL,80.1,1,972164,M,1994,137040,37000,59648,4040,96000,1,1,0,40400
901,5.08E+12,PL,85.2,1,386748,Z,1964,398560,107614,89373,20156,270790,1,1,0,201560
902,7.75E+12,PL,43.39,1,673508,M,1990,115958,31312,50247,3439,81212,1,1,0,34390
905,A085818239979,PL,45.2,1,960322,Z,1959,96254,25988,41896,2837,67429,1,1,0,28370
909,8.98E+12,PL,69.2,1,806826,Z,1978,204302,55726,89472,5911,142665,1,1,0,59110
910,2.83E+12,PL,47.11,1,335089,Z,1980,108727,29358,43671,3570,75799,1,1,0,35700
912,3.17E+12,PL,25.99,1,725398,Z,1969,26640,7193,10649,880,18567,1,1,0,8800
919,8.57E+12,PL,42.12,1,397111,M,1975,22859,6174,10407,628,16057,1,1,0,6280
921,4.30E+12,SVD,47.11,1,273072,Z,1982,182224,49752,82016,5042,127430,1,1,0,50420
922,3.85E+12,PL,86.21,1,681573,Z,1957,46154,13436,22343,1038,31680,1,1,0,10380
924,5.86E+12,PL,84.12,1,277139,Z,1963,27352,7249,6019,1408,18695,1,1,0,14080
925,4.97E+12,PL,84.24,1,855443,M,1968,596756,161127,89373,34626,401003,1,1,0,346260
926,7.63E+12,PL,14.13,1,120310,Z,1986,187952,55961,89373,4264,127727,1,1,0,42640
927,5.70E+12,PL,64.19,1,658494,Z,1978,480752,129800,89472,26152,324800,1,1,0,261520
932,9.56E+12,PL,42.99,1,681853,M,1963,194280,52455,64087,7773,134052,1,1,0,77730
933,71088835334,PL,56.1,1,92436,M,1974,213730,57711,89472,6651,149368,1,1,0,66510
938,7.43E+11,PL,84.22,1,140298,M,1977,589959,159290,89373,34130,396539,1,1,0,341300
942,1.07E+12,PL,15.2,1,720890,Z,1985,173070,49379,82016,4171,119520,1,1,0,41710
948,7.13E+12,PL,84.11,1,3898,M,1987,231157,62411,89373,7935,160811,1,1,0,79350
952,9.05E+12,PL,14.12,1,606771,Z,1993,16054,4438,7456,416,11200,1,1,0,4160
953,9.49E+11,PL,47.99,1,197736,M,1988,201806,54492,89472,5786,141528,1,1,0,57860
955,5.60E+12,PL,10.61,1,296386,M,1959,232195,62694,74461,9501,160000,1,1,0,95010
957,A899168552168,PL,79.12,1,758184,M,1971,56284,15196,24498,1659,39429,1,1,0,16590
958,6.69E+12,PL,86.1,1,534860,Z,1984,342949,92597,89373,16098,234254,1,1,0,160980
971,8.40E+11,PL,1.13,1,844884,M,1957,304661,82260,89373,13303,209098,1,1,0,133030
972,8.92E+12,PL,85.32,1,384556,M,1975,611846,165198,89373,35732,410916,1,1,0,357320
976,5.34E+11,PL,10.71,1,48184,Z,1980,16352,4415,7117,482,11455,1,1,0,4820
977,3.88E+12,PL,46.35,1,723633,M,1986,99062,26749,38968,3333,68980,1,1,0,33330
981,7.67E+12,PL,43.29,1,145100,M,1953,187907,50734,31443,10573,126600,1,1,0,105730
982,6.25E+12,PL,47.59,1,303098,Z,1971,205577,55506,89373,6071,144000,1,1,0,60710
983,4.94E+12,PL,41.2,1,766360,M,1978,188762,50972,82016,5579,132211,1,1,0,55790
984,3.49E+12,PL,29.31,1,704751,M,1990,252560,68191,84009,10036,174333,1,1,0,100360
989,1.80E+12,PL,31.01,1,440729,M,1991,198288,54004,89472,5484,138800,1,1,0,54840
990,2.06E+12,PL,86.23,1,934063,M,1966,340074,91807,89373,15892,232375,1,1,0,158920
992,6.80E+12,PL,10.89,1,963350,Z,1982,54149,14620,21995,1753,37776,1,1,0,17530
993,4.85E+11,PL,80.1,1,306522,M,1987,260340,70284,89472,10056,180000,1,1,0,100560
996,1.73E+12,PL,43.21,1,414591,M,1975,99891,26970,44687,2821,70100,1,1,0,28210
999,5.73E+12,PL,80.1,1,507166,M,1985,32848,8869,11424,1256,22723,1,1,0,12560
1001,7.64E+12,PL,86.21,1,871283,Z,1997,118409,35087,59549,2379,80943,1,1,0,23790
3,5.08E+12,PL,47.24,2,758933,M,1987,5111,0,0,511,4600,2,2,0,5110
4,6.93E+12,PL,56.3,2,928639,M,1987,10194,0,0,1019,9175,2,2,0,10190
8,8.38E+12,PL,14.12,2,673294,M,1985,4444,0,0,444,4000,2,2,0,4440
9,7.74E+12,PL,16.1,2,853654,M,1983,10222,0,0,1022,9200,2,2,0,10220
10,3.58E+12,PL,27.32,2,869978,Z,1966,10222,0,0,1022,9200,2,2,0,10220
16,7.43E+11,PL,84.22,2,3317,M,1978,25487,0,0,2549,22938,2,2,0,25490
20,2.80E+11,PL,45.2,2,505379,M,1990,11111,0,0,1111,10000,2,2,0,11110
34,4.16E+12,PL,47.3,2,985390,Z,1995,10296,0,0,1030,9266,2,2,0,10300
47,6.61E+12,PL,56.3,2,653344,Z,1971,10222,0,0,1022,9200,2,2,0,10220
55,2.72E+12,PL,47.3,2,636714,M,1982,10000,0,0,1000,9000,2,2,0,10000
59,5.64E+12,PL,86.22,2,247525,M,1957,10194,0,0,1019,9175,2,2,0,10190
61,6.09E+12,PL,47.73,2,921334,Z,1970,10200,0,0,1020,9180,2,2,0,10200
75,7.06E+11,PL,29.31,2,257935,M,1973,10194,0,0,1019,9175,2,2,0,10190
77,5.53E+12,PL,14.12,2,124601,Z,1971,6111,0,0,611,5500,2,2,0,6110
89,7.70E+12,PL,47.22,2,484656,Z,1975,10296,0,0,1030,9266,2,2,0,10300
90,2.32E+12,PL,41.2,2,975480,M,1981,10295,0,0,1029,9266,2,2,0,10290
96,8.00E+12,PL,62.09,2,309453,M,1986,10200,0,0,1020,9180,2,2,0,10200
113,4.74E+12,PL,26.11,2,873419,M,1971,10344,0,0,1034,9310,2,2,0,10340
120,3.59E+12,PL,62.01,2,457106,M,1989,12389,0,0,1239,11150,2,2,0,12390
122,9.83E+12,PL,42.22,2,229329,M,1959,1111,0,0,111,1000,2,2,0,1110
123,8.01E+12,PL,10.82,2,952630,Z,1994,11111,0,0,1111,10000,2,2,0,11110
129,8.20E+11,PL,55.1,2,516623,Z,1960,13670,0,0,1367,12303,2,2,0,13670
131,1.07E+12,PL,15.2,2,180674,Z,1984,10132,0,0,1013,9119,2,2,0,10130
137,7.06E+11,PL,29.31,2,504320,Z,1964,10194,0,0,1019,9175,2,2,0,10190
139,8.16E+12,PL,26.11,2,402895,M,1992,10200,0,0,1020,9180,2,2,0,10200
140,1.12E+12,PL,80.1,2,17725,M,1978,555,0,0,55,500,2,2,0,550
143,6.83E+12,PL,92,2,220367,M,1974,10194,0,0,1019,9175,2,2,0,10190
146,9.97E+12,PL,41.2,2,915516,M,1981,10296,0,0,1030,9266,2,2,0,10300
149,1.69E+12,PL,25.11,2,171493,M,1962,5111,0,0,511,4600,2,2,0,5110
150,2.59E+12,PL,47.22,2,639822,M,1994,10222,0,0,1022,9200,2,2,0,10220
156,4.74E+12,PL,26.11,2,216242,M,1997,10344,0,0,1034,9310,2,2,0,10340
163,5.90E+12,PL,86.1,2,10985,Z,1984,10195,0,0,1020,9175,2,2,0,10200
166,7.63E+12,PL,2.3,2,349184,Z,1984,5148,0,0,515,4633,2,2,0,5150
172,1.23E+12,PL,21.2,2,229258,M,1957,43069,0,0,4307,38762,2,2,0,43070
182,3.27E+12,SVD,96.02,2,6587,Z,1972,10222,0,0,1022,9200,2,2,0,10220
191,1.07E+12,PL,47.64,2,166704,M,1977,6667,0,0,667,6000,2,2,0,6670
192,8.92E+12,PL,35.12,2,259748,M,1955,198545,0,0,19854,178691,2,2,0,198540
193,6.39E+12,PL,49.31,2,229975,M,1972,10333,0,0,1033,9300,2,2,0,10330
195,2.55E+12,PL,14.19,2,516876,Z,1966,1111,0,0,111,1000,2,2,0,1110
203,A910509107559,PL,86.1,2,976858,Z,1969,2778,0,0,278,2500,2,2,0,2780
204,8.16E+12,PL,10.82,2,765469,M,1956,12900,0,0,1290,11610,2,2,0,12900
218,2.38E+12,PL,56.1,2,494499,Z,1969,1361,0,0,136,1225,2,2,0,1360
219,1.08E+12,PL,71.12,2,878680,Z,1981,10000,0,0,1000,9000,2,2,0,10000
222,7.91E+12,PL,10.51,2,154019,Z,1977,10133,0,0,1013,9120,2,2,0,10130
227,2.20E+12,PL,31.09,2,177386,M,1970,10333,0,0,1033,9300,2,2,0,10330
237,5.22E+12,PL,23.7,2,195148,M,1983,10296,0,0,1030,9266,2,2,0,10300
238,2.10E+12,PL,10.39,2,20262,Z,1965,10195,0,0,1020,9175,2,2,0,10200
245,3.58E+12,PL,86.23,2,404471,M,1970,10194,0,0,1019,9175,2,2,0,10190
249,4.71E+11,PL,45.2,2,720558,M,1978,10296,0,0,1030,9266,2,2,0,10300
261,3.02E+12,PL,84.11,2,384382,M,1971,13333,0,0,1333,12000,2,2,0,13330
264,1.79E+12,PL,61.2,2,753108,Z,1987,10194,0,0,1019,9175,2,2,0,10190
266,7.72E+12,PL,14.12,2,688858,M,1968,10000,0,0,1000,9000,2,2,0,10000
268,6.13E+12,PL,32.99,2,617672,M,1983,10129,0,0,1013,9116,2,2,0,10130
287,7.28E+12,PL,46.19,2,899469,M,1984,10194,0,0,1019,9175,2,2,0,10190
291,3.74E+12,PL,84.11,2,75899,M,1962,22222,0,0,2222,20000,2,2,0,22220
293,A877771972084,PL,45.2,2,407499,M,1987,10222,0,0,1022,9200,2,2,0,10220
294,61484416549,PL,84.11,2,821587,Z,1984,299997,0,0,29997,270000,2,2,0,299970
297,4.83E+12,PL,10.71,2,245080,M,1958,13333,0,0,1333,12000,2,2,0,13330
299,7.68E+12,PL,86.22,2,347638,M,1993,10222,0,0,1022,9200,2,2,0,10220
303,5.31E+12,PL,49.41,2,752463,M,1973,10222,0,0,1022,9200,2,2,0,10220
309,1.14E+12,PL,14.13,2,531939,Z,1968,5222,0,0,522,4700,2,2,0,5220
314,4.31E+12,PL,17.21,2,734997,M,1972,10296,0,0,1030,9266,2,2,0,10300
319,9.64E+12,PL,46.9,2,54033,Z,1986,5111,0,0,511,4600,2,2,0,5110
322,3.28E+12,PL,10.71,2,655327,M,1956,10194,0,0,1019,9175,2,2,0,10190
330,2.54E+12,PL,86.1,2,282366,Z,1972,11111,0,0,1111,10000,2,2,0,11110
342,1.87E+12,SVD,56.1,2,16542,M,1959,10222,0,0,1022,9200,2,2,0,10220
343,2.16E+12,PL,64.19,2,597071,M,1985,56059,0,0,5607,50452,2,2,0,56070
347,8.56E+12,PL,35.11,2,401924,M,1971,15292,0,0,1529,13763,2,2,0,15290
349,6.13E+12,PL,60.2,2,774476,M,1969,10222,0,0,1022,9200,2,2,0,10220
352,3.90E+12,PL,13.92,2,883154,Z,1980,12351,0,0,1235,11116,2,2,0,12350
353,7.44E+11,PL,1.64,2,551942,M,1967,8055,0,0,805,7250,2,2,0,8050
363,6.10E+11,PL,47.22,2,14028,M,1975,10000,0,0,1000,9000,2,2,0,10000
366,7.77E+12,PL,85.53,2,626387,M,1973,10194,0,0,1019,9175,2,2,0,10190
367,5.46E+12,PL,62.01,2,879112,M,1991,10000,0,0,1000,9000,2,2,0,10000
374,8.56E+12,PL,35.11,2,1012324,M,1991,40080,0,0,4008,36072,2,2,0,40080
380,3.24E+12,PL,47.11,2,337470,Z,1982,10194,0,0,1019,9175,2,2,0,10190
388,7.10E+12,PL,79.11,2,334823,Z,1974,10111,0,0,1011,9100,2,2,0,10110
391,9.82E+12,PL,29.1,2,697463,M,1990,24384,0,0,2438,21946,2,2,0,24380
397,1.90E+12,PL,47.75,2,485235,Z,1986,10133,0,0,1013,9120,2,2,0,10130
403,9.37E+12,PL,49.32,2,68833,M,1967,10000,0,0,1000,9000,2,2,0,10000
406,3.94E+12,PL,47.91,2,680391,Z,1988,13650,0,0,1365,12285,2,2,0,13650
409,7.32E+12,PL,46.31,2,472281,Z,1990,10000,0,0,1000,9000,2,2,0,10000
415,1.70E+12,PL,70.22,2,627146,Z,1990,10076,0,0,1008,9068,2,2,0,10080
418,1.92E+12,PL,47.21,2,412166,M,1986,10222,0,0,1022,9200,2,2,0,10220
420,6.75E+12,PL,52.29,2,384478,Z,1973,11111,0,0,1111,10000,2,2,0,11110
424,2.21E+12,PL,62.01,2,571695,Z,1962,10191,0,0,1016,9175,2,2,0,10160
440,1.60E+12,PL,84.11,2,82964,Z,1991,15111,0,0,1511,13600,2,2,0,15110
446,9.62E+12,PL,96.02,2,322137,M,1968,10133,0,0,1013,9120,2,2,0,10130
447,3.72E+11,PL,46.45,2,522338,Z,1979,10194,0,0,1019,9175,2,2,0,10190
452,3.12E+12,PL,13.92,2,438445,M,1988,10075,0,0,1008,9067,2,2,0,10080
454,7.87E+12,PL,41.2,2,117610,M,1978,10296,0,0,1030,9266,2,2,0,10300
457,7.18E+12,PL,35.13,2,504761,Z,1976,41911,0,0,4191,37720,2,2,0,41910
458,4.74E+12,PL,26.11,2,438687,Z,1996,10344,0,0,1034,9310,2,2,0,10340
459,61484416549,PL,84.11,2,852955,Z,1967,1399986,0,0,139986,1260000,2,2,0,1399860
460,8.85E+12,PL,69.2,2,882245,M,1957,16666,0,0,1666,15000,2,2,0,16660
461,2.28E+12,PL,24.52,2,386269,M,1954,10160,0,0,1016,9144,2,2,0,10160
467,3.81E+12,PL,55.1,2,139439,M,1959,10222,0,0,1022,9200,2,2,0,10220
474,2.41E+11,SVD,47.11,2,755303,M,1970,10011,0,0,1001,9010,2,2,0,10010
487,9.65E+12,PL,85.32,2,344438,M,1973,1023,0,0,102,921,2,2,0,1020
488,6.06E+12,PL,68.2,2,176860,Z,1958,10222,0,0,1022,9200,2,2,0,10220
489,5.91E+12,PL,86.21,2,513933,Z,1959,3333,0,0,333,3000,2,2,0,3330
492,5.83E+11,PL,94.2,2,685116,M,1979,7444,0,0,744,6700,2,2,0,7440
495,7.78E+12,PL,79.11,2,339900,M,1983,10333,0,0,1033,9300,2,2,0,10330
507,5.45E+12,PL,14.13,2,180134,Z,1972,10078,0,0,1008,9070,2,2,0,10080
519,5.30E+11,PL,22.21,2,375826,M,1994,10333,0,0,1033,9300,2,2,0,10330
524,1.56E+12,PL,7.29,2,167104,M,1987,10194,0,0,1019,9175,2,2,0,10190
526,1.91E+12,PL,14.13,2,860959,Z,1971,18889,0,0,1889,17000,2,2,0,18890
527,4.49E+12,PL,22.29,2,101695,M,1958,10222,0,0,1022,9200,2,2,0,10220
529,4.27E+12,PL,1.11,2,698445,M,1954,2222,0,0,222,2000,2,2,0,2220
530,9.97E+12,PL,41.2,2,109821,M,1972,10296,0,0,1030,9266,2,2,0,10300
536,8.41E+12,PL,86.22,2,629674,Z,1989,10222,0,0,1022,9200,2,2,0,10220
537,2.33E+12,PL,41.2,2,255444,M,1965,12222,0,0,1222,11000,2,2,0,12220
539,7.09E+12,PL,13.92,2,344687,M,1979,9961,0,0,995,8966,2,2,0,9950
544,2.73E+12,PL,56.1,2,828948,Z,1986,3333,0,0,333,3000,2,2,0,3330
547,3.20E+12,PL,16.29,2,471271,M,1968,10000,0,0,1000,9000,2,2,0,10000
568,1.22E+12,PL,49.41,2,409041,M,1973,11145,0,0,2026,9119,2,2,0,20260
577,4.16E+12,PL,47.3,2,7285,M,1986,10296,0,0,1030,9266,2,2,0,10300
586,1.84E+12,PL,16.23,2,39369,Z,1977,10555,0,0,1055,9500,2,2,0,10550
590,1.28E+12,PL,43.33,2,558062,M,1991,10194,0,0,1019,9175,2,2,0,10190
594,4.91E+12,PL,49.41,2,353572,M,1967,5111,0,0,511,4600,2,2,0,5110
596,5.26E+11,PL,47.63,2,411167,Z,1963,10194,0,0,1019,9175,2,2,0,10190
597,8.47E+12,PL,46.9,2,793879,Z,1957,13333,0,0,1333,12000,2,2,0,13330
606,3.77E+12,PL,45.31,2,609376,Z,1984,10222,0,0,1022,9200,2,2,0,10220
612,7.06E+11,PL,29.31,2,1013997,M,1978,10194,0,0,1019,9175,2,2,0,10190
616,2.87E+12,PL,47.11,2,653892,Z,1982,10129,0,0,1013,9116,2,2,0,10130
618,5.66E+12,PL,47.65,2,131754,M,1975,10295,0,0,1029,9266,2,2,0,10290
619,5.86E+12,PL,56.1,2,713545,M,1968,10222,0,0,1022,9200,2,2,0,10220
625,7.04E+12,PL,47.51,2,190904,Z,1988,10000,0,0,1000,9000,2,2,0,10000
631,5.81E+12,PL,71.2,2,828614,M,1980,10133,0,0,1013,9120,2,2,0,10130
636,9.35E+12,PL,47.11,2,97183,M,1964,10556,0,0,1056,9500,2,2,0,10560
644,1.97E+12,PL,49.41,2,36186,M,1967,10222,0,0,1022,9200,2,2,0,10220
645,8.33E+12,PL,61.9,2,821525,Z,1982,30500,0,0,3050,27450,2,2,0,30500
646,6.92E+11,PL,1.47,2,792918,M,1990,10194,0,0,1019,9175,2,2,0,10190
649,7.85E+12,PL,56.3,2,831841,M,1994,10333,0,0,1033,9300,2,2,0,10330
672,7.77E+12,PL,86.23,2,255145,M,1956,5067,0,0,507,4560,2,2,0,5070
673,4.45E+12,PL,84.11,2,739712,Z,1965,47961,0,0,4796,43165,2,2,0,47960
675,83567965874,PL,47.73,2,459862,Z,1984,10000,0,0,1000,9000,2,2,0,10000
678,2.22E+11,PL,24.1,2,696323,M,1966,11667,0,0,1167,10500,2,2,0,11670
684,6.09E+12,PL,41.2,2,623091,M,1970,10295,0,0,1030,9265,2,2,0,10300
688,9.84E+12,PL,35.3,2,435072,Z,1967,10222,0,0,1022,9200,2,2,0,10220
690,2.11E+12,PL,46.73,2,890851,M,1995,10128,0,0,1012,9116,2,2,0,10120
694,1.87E+12,PL,52.21,2,131251,M,1960,28259,0,0,2826,25433,2,2,0,28260
696,8.82E+12,PL,46.18,2,754761,M,1959,10222,0,0,1022,9200,2,2,0,10220
699,4.63E+11,PL,47.71,2,967222,Z,1983,10000,0,0,1000,9000,2,2,0,10000
701,4.50E+11,PL,49.39,2,549481,M,1967,10324,0,0,1032,9292,2,2,0,10320
705,3.22E+12,PL,17.23,2,362809,Z,1987,10195,0,0,1020,9175,2,2,0,10200
