ID_NO,CONS_BEDDING,CONS_BEVERAGE,CONS_CEREAL,CONS_CEREAL_SUB,CONS_CLOTHING,CONS_CONS_SERVICES,CONS_CONS_TAXES,CONS_CONVEYANCE,CONS_DRY_FRUIT,CONS_DURABLE_GOODS,CONS_EDIBLE_OIL,CONS_EDUCATION,CONS_ENTERTAINMENT,CONS_FOOTWEAR,CONS_FRUIT,CONS_FUEL,CONS_IMPUTED_RENT,CONS_INTOXICANT,CONS_MEDICAL_INST,CONS_MEDICAL_NON_INST,CONS_MILK_PROD,CONS_MINOR_DURABLE_GOODS,CONS_NON_VEG,CONS_OTHER_HOUSEHOLD_CONSUMABLES,CONS_PACK_PROC_FOOD,CONS_PAN,CONS_PROC_FOOD,CONS_PULSES,CONS_RENT,CONS_SALT_SUGAR,CONS_SPICES,CONS_TOBACCO,CONS_TOILETARIES,CONS_VEGETABLE,HH_SIZE,URBAN,DISTRICT,STATE_CODE,WEIGHT,ASSESSMENT_YEAR,CONS_OTHER
416811203,0,2231.154625,12494.4659,0,9279.158138,2565.827818,0,6693.463874,0,366.7651438,7541.302631,5501.477157,0,1833.825719,0,13565.42012,0,0,0,892.4618499,12717.58136,0,2008.039162,1561.808237,0,0,0,8567.633759,6693.463874,3792.962862,2833.566373,6693.463874,2342.712356,5801.002024,4,0,32,23,1457.21,2017,103483.091
416811204,0,356.98474,7251.25253,0,4016.078324,2521.204726,669.3463874,8924.618499,0,0,3123.616475,0,2231.154625,916.9128595,0,8679.19149,366.7651438,0,0,0,5845.625117,0,5354.771099,1115.577312,557.7886562,0,0,2788.943281,0,1494.873599,2699.697096,0,1784.9237,2677.38555,2,0,32,23,1457.21,2017,56125.45868
416811205,110.0295431,1004.019581,18295.46792,0,5134.712013,0,0,1115.577312,0,1668.781404,3569.8474,0,0,733.5302876,0,14145.52032,916.9128595,0,0,2231.154625,5711.755839,0,780.9041186,1338.692775,0,0,446.2309249,7162.006345,0,3726.028223,3012.058743,0,1829.546792,3904.520593,4,0,32,23,1457.21,2017,58541.8297
416811206,0,892.4618499,8879.995406,0,5996.610101,4105.324509,669.3463874,33467.31937,0,2200.590863,4462.309249,916.9128595,3346.731937,843.5598307,446.2309249,6916.579337,550.1477157,0,0,1338.692775,11713.56178,0,1561.808237,1561.808237,1115.577312,0,4016.078324,4796.982443,0,2208.843078,3257.485752,1338.692775,2454.270087,4373.063064,4,0,32,23,1457.21,2017,104550.9888
416811301,0,2231.154625,14792.55516,0,16266.03413,9080.799322,0,7809.041186,0,1742.134433,9638.587979,0,2008.039162,2750.738578,0,18518.58338,1467.060575,0,0,10040.19581,12717.58136,0,2431.958541,4462.309249,5577.886562,0,0,8723.814583,0,3614.470492,2588.139365,0,4908.540174,5555.575015,6,0,32,23,1066.25,2017,132132.6445
416811302,916.9128595,1115.577312,8701.503036,0,5868.242301,12717.58136,0,6693.463874,0,916.9128595,6693.463874,0,0,550.1477157,0,12405.21971,916.9128595,0,0,5577.886562,10040.19581,0,959.3964886,1338.692775,1115.577312,0,0,4953.163267,0,2365.023902,2186.531532,1338.692775,2342.712356,2231.154625,3,0,32,23,1066.25,2017,83243.46213
416821201,458.4564297,780.9041186,5533.263469,0,2750.738578,2722.008642,892.4618499,11155.77312,0,641.8390016,4685.424712,0,2788.943281,366.7651438,0,25859.0821,916.9128595,24542.70087,0,2231.154625,12137.48116,0,8478.387574,1338.692775,669.3463874,0,0,2342.712356,0,2744.320188,3904.520593,557.7886562,2008.039162,5577.886562,3,0,32,23,3371.25,2017,120552.3407
416821202,1283.678003,1561.808237,3882.209047,0,5611.5067,5109.344091,0,3123.616475,334.6731937,8729.010422,6247.232949,7555.361962,6247.232949,1467.060575,3569.8474,24007.22376,2017.208291,4908.540174,0,3123.616475,15952.75557,0,7139.694799,1561.808237,1004.019581,0,4819.293989,6648.840782,0,3547.535853,2275.777717,490.8540174,2008.039162,2052.662255,5,0,32,23,3371.25,2017,132398.2436
416821203,3667.651438,2008.039162,9727.834164,0,11919.86717,12628.33518,4149.947602,12940.69682,3123.616475,7518.685448,7920.598918,1870.502233,5577.886562,3667.651438,4707.736258,25747.52437,4584.564297,0,3667.651438,0,38152.74408,0,0,3034.37029,13833.15867,0,0,6671.152328,0,5131.655637,3859.897501,669.3463874,6626.529235,8166.025926,5,0,32,23,3371.25,2017,201845.8349
416821204,366.7651438,1561.808237,8032.156649,0,3759.342724,3659.093584,0,1115.577312,0,0,6247.232949,14120.45804,2788.943281,825.2215735,1338.692775,17626.12154,550.1477157,0,0,6693.463874,10040.19581,0,4462.309249,1115.577312,1115.577312,0,0,9817.080349,0,2253.466171,4306.128426,0,2231.154625,5801.002024,3,0,32,23,3371.25,2017,101795.36
416821205,550.1477157,2498.89318,6403.413773,0,4859.638155,3659.093584,0,1338.692775,0,0,4685.424712,16687.81404,2788.943281,916.9128595,0,16064.3133,733.5302876,0,0,4462.309249,4016.078324,0,0,1115.577312,1115.577312,0,0,5131.655637,0,2967.435651,4908.540174,3346.731937,2454.270087,5801.002024,5,0,32,23,3371.25,2017,90102.5816
416821206,916.9128595,780.9041186,8924.618499,0,1833.825719,4016.078324,892.4618499,5577.886562,0,660.1772588,4685.424712,0,0,183.3825719,0,8188.337473,0,0,0,669.3463874,2409.646995,0,0,1338.692775,892.4618499,0,0,6024.117487,11155.77312,3480.601215,2900.501012,0,1896.481431,2632.762457,3,0,32,23,3371.25,2017,61135.77618
416821301,0,1561.808237,5087.032544,0,4492.873011,3659.093584,892.4618499,1115.577312,0,0,6693.463874,18705.02233,2788.943281,1558.751861,1115.577312,15930.44402,1467.060575,0,0,2231.154625,13699.2894,0,937.0849424,1784.9237,6470.348412,0,0,5131.655637,0,2253.466171,4462.309249,1338.692775,2454.270087,4016.078324,5,0,32,23,1522.5,2017,104760.3506
416821302,1100.295431,2008.039162,3078.993382,0,2750.738578,4194.570694,0,0,0,192.5517005,6247.232949,0,0,660.1772588,2677.38555,16488.23268,1650.443147,2677.38555,0,6693.463874,9281.603239,0,0,1450.250506,892.4618499,0,0,11066.52694,0,4216.882241,1606.43133,446.2309249,1115.577312,3012.058743,4,0,32,23,1522.5,2017,80428.53966
416831101,458.4564297,1383.315867,7585.925724,0,5180.557656,3569.8474,1450.250506,892.4618499,0,1723.796176,4685.424712,0,0,678.515516,825.5272111,15640.39392,1833.825719,0,0,10263.31127,9593.964886,0,2632.762457,3257.485752,334.6731937,0,267.738555,3949.143686,0,2141.90844,1160.200405,0,3235.174206,3926.832139,2,0,27,23,755.63,2017,79085.56795
416831102,1283.678003,6358.79068,21597.57677,1450.250506,16761.16707,14948.73599,1450.250506,18407.02565,780.9041186,7729.575405,2788.943281,990.2658882,7139.694799,1861.333105,3235.174206,24698.8817,3300.886294,0,0,12940.69682,34806.01215,0,0,11825.11951,4908.540174,6693.463874,1115.577312,8032.156649,0,5622.509654,4060.701417,0,11289.6424,8701.503036,6,0,27,23,755.63,2017,223181.4802
416831201,962.7585024,3190.551113,12003.61188,0,12470.01489,8032.156649,1383.315867,10932.65766,0,4804.623384,9147.733961,0,4016.078324,2246.436506,3012.058743,21106.72275,2750.738578,0,0,669.3463874,16733.65969,1784.9237,5354.771099,9817.080349,1004.019581,3346.731937,669.3463874,7139.694799,0,4730.047804,5867.936663,0,6916.579337,5466.32883,4,0,27,23,1334.94,2017,153556.3135
416831202,623.5007444,2900.501012,30366.01444,1227.135044,11167.99863,7139.694799,1383.315867,15618.08237,1338.692775,5868.242301,7809.041186,4034.416582,2231.154625,3539.283638,2231.154625,21865.31532,3667.651438,0,0,23650.23902,24319.58541,669.3463874,8032.156649,3837.585954,1249.44659,1115.577312,1338.692775,10597.98447,0,4016.078324,3592.158946,0,4930.851721,8076.779741,8,0,27,23,1334.94,2017,188071.6643
416831203,201.7208291,2275.777717,5801.002024,0,6418.390016,2298.089263,1383.315867,1561.808237,669.3463874,1613.766633,4685.424712,0,0,1100.295431,1561.808237,17403.00607,1100.295431,0,0,4016.078324,8255.272111,0,0,3748.339769,0,0,446.2309249,5310.148007,0,2989.747197,1271.758136,0,2632.762457,5153.967183,3,0,27,23,1334.94,2017,76097.34895
416831204,696.8537732,5689.444293,8255.272111,0,7289.457233,7362.810261,1450.250506,5577.886562,0,4071.093096,6693.463874,0,3792.962862,1201.155846,1115.577312,13253.05847,2200.590863,0,0,1115.577312,6693.463874,0,2677.38555,4016.078324,557.7886562,0,669.3463874,5801.002024,0,4395.374611,3101.304928,6693.463874,5778.690478,4506.932342,4,0,27,23,1334.94,2017,106401.0133
