ID_NO,CONS_BEDDING,CONS_BEVERAGE,CONS_C_SERVICES,CONS_C_TAXES,CONS_CEREAL,CONS_CEREAL_SUB,CONS_CLOTHING,CONS_CONVEYANCE,CONS_DRY_FRUIT,CONS_DURABLE_GOODS,CONS_EDIBLE_OIL,CONS_EDUCATION,CONS_ENTERTAINMENT,CONS_FOOTWEAR,CONS_FRUIT,CONS_FUEL,CONS_IMPUTED_RENT,CONS_INTOXICANT,CONS_MEDICAL_INST,CONS_MEDICAL_NON_INST,CONS_MILK_PROD,CONS_MINOR_DURABLE_GOODS,CONS_NON_VEG,CONS_OTHER_HOUSEHOLD_C_ONSUMABLES,CONS_PACK_PROC_FOOD,CONS_PAN,CONS_PROC_FOOD,CONS_PULSES,CONS_RENT,CONS_SALT_SUGAR,CONS_SPICES,CONS_TOBACCO,CONS_TOILETARIES,CONS_VEGETABLE,HH_SIZE,URBAN,DISTRICT,STATE_CODE,WEIGHT,ASSESSMENT_YEAR
410041101,2647.711655,8375.594536,89653.55335,9168.550232,21508.92325,842.5154267,36538.42084,39647.78479,892.0751577,177539.25,13628.92602,4277.072674,12389.93275,11486.99518,7929.556957,65418.8449,16293.61019,0,0,7433.959647,73843.99916,0,0,21062.88567,4955.973098,0,7433.959647,6740.123414,0,6294.085835,6393.205297,0,8028.676419,13232.44817,3,0,14,24,3563.63,2017
410041102,2444.041528,9118.990501,101795.6874,9069.43077,29636.71913,0,54094.78582,74339.59647,4708.174443,249943.9803,20815.08701,4175.23761,2477.986549,10427.91052,7780.877764,72109.40858,16293.61019,0,0,24779.86549,129350.8979,7433.959647,0,22054.08029,1982.389239,0,7186.160992,11646.53678,0,6145.406642,7235.720723,0,14867.91929,12835.97032,4,0,14,24,3563.63,2017
410041201,488.8083056,8573.83346,9713.707273,5699.369063,17891.06288,0,10855.61779,9911.946196,0,6150.837845,11894.33544,0,0,1222.020764,991.1946196,32858.10164,6110.10382,0,10509.37857,7433.959647,30330.55536,0,0,3964.778479,0,0,0,7037.481799,0,3370.061707,5302.891215,4460.375788,3617.860362,10605.78243,3,0,14,24,2585.38,2017
410041202,1547.892968,18337.10046,14620.12064,7929.556957,32709.42245,0,25621.70202,7433.959647,1040.754351,4073.402546,21310.68432,0,12389.93275,3503.12619,5947.167718,53673.18865,8146.805093,0,105908.4662,8920.751577,38061.87339,0,0,6294.085835,2477.986549,0,15859.11391,7384.399916,0,9118.990501,7780.877764,2973.583859,6244.526104,18981.37697,5,0,14,24,2585.38,2017
410041203,1222.020764,13628.92602,10457.10324,0,28249.04666,0,16599.11538,19823.89239,1734.590584,13523.69645,22351.43867,19756.00235,9911.946196,2158.90335,4460.375788,37665.39555,0,0,20163.34261,0,37169.79824,0,0,6938.362338,12885.53006,0,0,4262.136864,49559.73098,8326.034805,7483.519378,4460.375788,5005.532829,18634.45885,5,0,14,24,2585.38,2017
410041204,611.010382,2973.583859,10011.06566,8821.632115,14521.00118,842.5154267,8839.283526,34691.81169,842.5154267,6619.279138,12389.93275,4399.27475,10903.14082,1833.031146,594.7167718,27703.88962,12220.20764,0,0,2477.986549,22549.6776,0,0,4113.457672,0,0,17841.50315,6541.88449,0,3419.621438,5699.369063,0,4708.174443,9862.386465,2,0,14,24,2585.38,2017
410041301,1629.361019,20616.84809,24978.10442,7186.160992,46140.10954,0,23483.16568,8920.751577,2081.508701,6342.287765,32511.18352,0,10407.54351,3055.05191,6442.765028,60066.39395,5702.763565,0,0,7681.758302,74339.59647,0,0,10060.62539,20319.4897,17841.50315,0,7533.079109,0,14174.08306,11349.17839,0,7384.399916,27555.21043,9,0,14,24,838.5,2017
410041302,1181.286738,17246.78638,12687.29113,3716.979824,31668.6681,0,20081.87455,3469.181169,892.0751577,2220.004388,29735.83859,0,16850.30853,2281.105426,6442.765028,54664.38327,2851.381783,0,0,2378.867087,44157.72031,0,0,9019.871039,9168.550232,12687.29113,0,3469.181169,0,13282.0079,9218.109963,5947.167718,5104.652291,27109.17285,7,0,14,24,838.5,2017
410051101,0,1982.389239,36178.60362,5451.570408,9118.990501,0,2036.701273,0,14867.91929,7332.124584,2230.187894,0,7433.959647,0,3469.181169,19328.29508,32587.22037,0,31365.19961,4955.973098,28645.52451,0,0,5947.167718,1486.791929,0,0,3964.778479,0,2329.307356,2428.426818,0,3469.181169,5302.891215,1,0,7,24,10726,2017
410051102,0,41134.57672,287446.4397,8276.475074,64774.56839,0,86111.72983,173459.0584,32461.62379,158862.6993,41630.17403,200818.7455,19823.89239,28513.81783,24532.06684,70424.37773,40734.02546,0,0,8920.751577,108288.0122,0,0,14372.32198,71366.01261,0,52037.71753,25275.4628,0,12389.93275,9416.348887,14867.91929,18832.69777,15066.15822,6,0,7,24,10726,2017
410051103,0,10655.34216,65914.44221,5451.570408,33155.46003,0,44807.42801,44603.75788,0,12220.20764,29735.83859,28513.81783,12389.93275,16293.61019,0,28546.40505,32587.22037,0,0,0,57489.28794,0,0,6442.765028,11943.89517,0,24779.86549,6194.966373,0,6492.324759,5154.212022,0,13876.72468,8871.191846,3,0,7,24,10726,2017
410051104,0,3469.181169,9515.468349,0,15512.1958,743.3959647,14460.57904,4955.973098,9416.348887,12077.63855,13876.72468,0,0,2647.711655,6194.966373,25523.26146,0,0,0,61949.66373,43116.96595,19823.89239,0,6938.362338,4955.973098,0,9911.946196,7334.840185,123899.3275,5550.68987,5104.652291,0,5699.369063,14521.00118,2,0,7,24,10726,2017
410051201,4175.23761,3469.181169,91685.50232,2329.307356,39499.10559,0,23096.19244,17345.90584,2230.187894,9633.597022,19080.49643,36905.02707,0,3666.062292,1486.791929,41877.97268,32587.22037,0,0,6194.966373,51542.12022,4460.375788,0,7929.556957,11150.93947,0,7433.959647,15313.95687,0,9664.147542,7681.758302,9911.946196,9416.348887,22400.9984,4,0,7,24,3658,2017
410051202,407.3402546,2973.583859,3964.778479,4460.375788,27307.41177,0,48880.83056,7433.959647,4460.375788,814.6805093,14372.32198,3666.062292,7433.959647,4073.402546,743.3959647,21657.60244,20367.01273,0,0,0,40886.77806,0,0,5947.167718,1238.993275,0,2477.986549,7087.04153,0,6294.085835,4559.49525,0,6690.563683,8425.154267,2,0,7,24,3658,2017
410051203,0,12389.93275,37665.39555,8920.751577,60760.23018,0,44807.42801,14867.91929,19328.29508,9878.001175,38656.59017,17719.30108,7929.556957,13951.40372,5947.167718,46090.54981,28513.81783,0,0,0,72357.20723,0,0,6442.765028,2031.94897,0,0,13876.72468,0,10605.78243,7681.758302,0,14620.12064,18485.77966,6,0,7,24,3658,2017
410051204,814.6805093,2577.106011,36674.20093,7929.556957,29289.80101,0,30061.71079,34691.81169,3964.778479,2606.97763,13876.72468,21018.75714,12389.93275,5295.42331,5947.167718,47676.4612,20367.01273,0,0,0,57737.08659,0,0,7433.959647,5947.167718,0,1982.389239,9416.348887,0,4361.256326,6145.406642,7929.556957,12637.7314,15165.27768,4,0,7,24,3658,2017
410061101,0,10407.54351,62445.26104,4460.375788,33948.41572,1238.993275,31324.46558,76817.58302,28744.64397,334181.9449,34691.81169,5458.359412,34691.81169,11690.66531,9416.348887,50798.72426,10183.50637,0,0,9911.946196,97632.67003,3964.778479,45594.9525,8920.751577,14372.32198,0,8920.751577,18832.69777,0,12340.37301,20815.08701,9911.946196,34691.81169,35336.08819,4,0,7,24,2877.5,2017
410061102,1018.350637,16850.30853,12885.53006,2081.508701,19576.09374,0,16904.62057,59471.67718,18089.30181,33890.70919,22301.87894,61915.71871,7433.959647,7332.124584,6442.765028,38805.26936,6110.10382,0,0,148679.1929,61454.06642,0,15859.11391,6938.362338,3964.778479,0,3964.778479,14570.56091,0,17296.34611,16106.91257,0,12588.17167,38805.26936,4,0,7,24,2877.5,2017
410061201,0,6938.362338,22301.87894,2477.986549,28100.36747,0,16782.41849,49559.73098,9416.348887,3136.519961,18584.89912,12423.87777,12389.93275,8146.805093,991.1946196,44752.43708,6110.10382,0,0,0,80038.96554,0,33205.01976,8920.751577,7433.959647,0,9911.946196,16106.91257,0,9713.707273,13876.72468,34691.81169,15363.5166,26712.695,4,0,7,24,13452.31,2017
410061202,1425.690891,3469.181169,28744.64397,7433.959647,19328.29508,0,10794.51675,22301.87894,8425.154267,53891.11569,19823.89239,20774.35299,25275.4628,4317.806699,3964.778479,38309.67205,6110.10382,0,0,4955.973098,47825.1404,0,0,6442.765028,3964.778479,0,8425.154267,20815.08701,0,7235.720723,9267.669694,0,8920.751577,19972.57159,5,0,7,24,13452.31,2017
410061203,0,4262.136864,44108.16057,2477.986549,35137.84927,1982.389239,24440.41528,120231.9074,8672.952922,85663.65555,22549.6776,38127.04784,2973.583859,3666.062292,1486.791929,52335.07592,12220.20764,0,0,2477.986549,67401.23414,0,37913.1942,12885.53006,9911.946196,0,19823.89239,16503.39042,0,6343.645566,20071.69105,9911.946196,23788.67087,26018.85877,5,0,7,24,13452.31,2017
410061204,2281.105426,6938.362338,15611.31526,2081.508701,27852.56881,0,13320.02633,49559.73098,0,5397.258374,26762.25473,44970.36411,17345.90584,8269.007169,4212.577133,30330.55536,8146.805093,0,0,3964.778479,70374.81799,2477.986549,0,9416.348887,5451.570408,0,13876.72468,13678.48575,0,8276.475074,17494.58504,0,16453.83069,34543.13249,4,0,7,24,13452.31,2017
410061301,0,2775.344935,4460.375788,1883.269777,25473.70172,0,9979.836239,4856.853636,0,8228.273144,15611.31526,0,0,3177.253986,0,26365.77688,8146.805093,0,0,9911.946196,19080.49643,0,0,9416.348887,991.1946196,0,0,12637.7314,0,4658.614712,12389.93275,0,8573.83346,22054.08029,4,0,7,24,287.75,2017
410061302,0,2725.785204,3469.181169,1883.269777,7384.399916,0,1792.29712,991.1946196,0,81.46805093,12885.53006,0,0,814.6805093,0,13827.16494,6110.10382,0,0,1982.389239,15611.31526,0,0,4063.897941,991.1946196,0,0,5451.570408,0,3320.501976,8375.594536,0,4014.33821,15859.11391,2,0,7,24,287.75,2017
410071101,773.9464838,13480.24683,5748.928794,8672.952922,16503.39042,0,4440.008776,15859.11391,2477.986549,17739.66809,11894.33544,0,0,651.7444074,4460.375788,38309.67205,4888.083056,0,0,18337.10046,49559.73098,4460.375788,0,11398.73813,4757.734174,0,0,7334.840185,0,4906.413367,5451.570408,0,3469.181169,16800.7488,2,0,14,24,992.88,2017
410071102,1018.350637,31916.46675,24036.46953,5104.652291,33353.69895,0,24155.2771,10407.54351,4955.973098,18859.85379,19823.89239,0,25771.06011,6069.369794,10704.90189,56349.41413,5702.763565,0,0,22301.87894,112500.5893,0,0,11894.33544,10655.34216,28249.04666,4955.973098,8672.952922,0,8375.594536,8871.191846,0,5451.570408,27356.9715,4,0,14,24,992.88,2017
410071201,1894.132184,5451.570408,18584.89912,8672.952922,20319.4897,0,23035.0914,16106.91257,2230.187894,4806.615005,17841.50315,58453.32654,9911.946196,1792.29712,9069.43077,38854.82909,5091.753183,0,0,7433.959647,64229.41135,0,0,8028.676419,1486.791929,0,0,6789.683145,0,9069.43077,7285.280454,15462.63607,9267.669694,19923.01185,4,0,14,24,5384.44,2017
410071202,733.2124584,9416.348887,7830.437495,0,12241.25355,0,15218.23191,7433.959647,2924.024128,7454.32666,19823.89239,9185.522742,10407.54351,1568.25998,3221.382514,33502.37814,0,0,0,8672.952922,37169.79824,0,0,4708.174443,8920.751577,18584.89912,0,5798.488525,34691.81169,4708.174443,7582.63884,1982.389239,6294.085835,19427.41455,4,0,14,24,5384.44,2017
410071203,529.542331,10308.42404,5055.09256,6690.563683,2477.986549,0,7739.464838,3964.778479,1139.873813,3156.886974,12191.69382,0,0,977.6166112,3716.979824,31123.51106,2851.381783,0,0,0,33105.9003,0,5451.570408,4708.174443,1238.993275,0,0,3816.099286,0,2973.583859,3816.099286,13083.76898,3568.300631,10407.54351,2,0,14,24,5384.44,2017
410071204,1344.22284,18832.69777,19328.29508,6194.966373,30082.75671,2230.187894,18208.10938,52037.71753,1635.471122,12647.91491,35683.00631,0,9416.348887,3014.317884,4509.935519,35683.00631,4073.402546,0,0,0,68194.18983,0,0,9713.707273,6393.205297,0,5947.167718,7929.556957,0,10655.34216,7186.160992,16652.06961,9515.468349,15908.67365,5,0,14,24,5384.44,2017
