id_n,total_gross_income,total_taxable_income,ssc_w,total_pit
17318,211892,89704,53236,8970
538887,226310,70742,62235,7074
463814,228702,72895,59807,7290
205324,228506,69667,62839,6967
18950,201793,70973,50820,7391
704528,234214,77963,60251,7796
364139,230765,74514,60251,7474
665425,205727,90691,47989,10069
195143,229404,93432,60004,9343
206914,229020,73122,59898,7312
639444,224602,68508,60094,6871
439264,221400,64515,60885,6452
30492,197276,94457,49602,9735
476755,219762,119300,31007,11930
320016,219909,63434,60475,6343
178396,221952,64915,61037,6492
286128,230181,73845,60336,7385
532827,220227,199177,10650,19918
318596,184443,37721,50722,3772
43980,216604,161765,0,24265
10514,233448,73250,64198,7325
699224,217404,61618,59786,6162
135666,226896,68652,62244,6865
782633,235407,75988,63419,7672
692374,225801,68011,61790,6801
154331,222945,71963,58254,7196
500724,204551,62908,56252,6291
180474,229557,73481,60076,7348
82046,217475,61669,59806,6167
94857,231131,74656,60475,7466
617931,228206,69449,62757,6945
13202,230317,74066,60251,7407
5455,184231,55853,50664,5585
162285,231004,74551,60453,7455
60741,232929,75956,60973,7596
741474,184969,68105,0,6810
421990,228276,45655,0,4566
736271,226378,45275,0,4528
122769,231044,97091,60429,9709
282797,220893,112147,60746,11215
751764,219841,63385,60456,6338
561089,225868,45174,0,4517
443204,228737,72920,59817,7292
142126,231196,88061,60468,8806
654125,230840,74415,60425,7441
280247,227515,204763,0,30714
351410,191213,55467,52584,5547
137778,234829,77359,61470,7736
758951,219646,63854,59792,6385
438058,230206,73955,60251,7395
613614,210438,210438,0,31566
517120,229773,73693,60080,7369
665988,232605,75747,60858,7575
404447,194736,87089,53247,8709
160297,233835,76616,61219,7662
414451,206765,41860,0,4218
549929,232936,75961,60975,7596
510368,219116,62859,60257,6286
405460,217650,63251,59854,6325
297709,232999,76010,60989,7601
160629,230293,74045,60248,7404
402004,234565,77054,61511,7705
322183,218166,62897,59996,6290
227766,222417,66169,60248,6617
348829,229789,73714,60075,7371
302199,229121,70113,63008,7011
147816,193540,63425,50115,6342
547746,218171,62174,59997,6217
482933,209925,77148,57729,7715
412456,231020,74545,60475,7455
521222,220830,107580,60728,10758
532584,221272,64422,60850,6442
107160,205011,80476,52535,8181
686253,230288,74041,60247,7404
61897,230218,73994,60224,7399
313006,227714,90502,59299,9050
211322,230295,74046,60249,7405
573203,225877,45682,0,4600
568178,231360,74816,60544,7482
19516,201734,201734,0,20173
324395,233184,76132,61052,7613
496262,233462,76342,61120,7634
618327,232520,46504,0,4650
468148,214096,89935,55797,8993
272343,232304,73962,62343,7396
372532,186963,64635,47280,7215
858019,208092,187283,0,28092
559270,226153,71078,59076,7108
430650,229590,73508,60082,7351
478461,189291,82751,52055,8275
504022,181535,86193,49429,8709
144990,231638,123938,63700,12394
373342,194574,59649,50544,5965
559923,219099,62847,60252,6285
437684,231429,74868,60561,7487
425380,233383,76311,61072,7631
124914,227073,71683,59390,7168
438286,230304,74053,60251,7405
381187,213370,192025,0,28804
617142,234461,77067,61394,7707
345005,229959,73707,60252,7371
862726,235122,235122,0,23512
476492,228425,76664,59761,7666
750685,202300,66668,55633,6667
335919,215069,84414,54465,8732
242765,227116,71745,59371,7175
345756,228534,72382,60152,7728
803556,221339,98978,57752,9898
718539,212271,59442,58375,5944
694054,192216,91557,52659,9156
268856,226329,94222,62240,9422
648257,187283,71849,48386,7185
595251,230271,74020,60251,7402
211374,201810,83293,47062,9297
589208,181030,84790,48240,8479
301264,186123,38706,5024,3871
469478,196536,39308,0,3931
165463,229712,73627,60085,7363
618800,186662,89226,51175,8923
402308,231779,75126,60653,7513
337187,230206,73955,60251,7395
542031,191400,191400,0,19140
506094,204145,64005,56140,6401
787489,185943,60557,48382,6306
57814,186770,88451,51362,8845
354930,233408,79939,61105,7994
562445,202416,202416,0,30362
362843,219095,62844,60251,6284
64234,194746,75164,47582,7516
187370,194525,61793,53494,6179
665605,230808,74306,60502,7431
150679,234335,92158,54113,10029
514807,183199,53703,50257,5370
773232,233257,77237,61063,7724
805482,229337,77352,59985,7735
24008,218252,96415,60019,9641
254892,217919,62144,59775,6214
241038,233888,76651,61237,7665
291660,188154,64573,51581,6487
355292,225430,73302,58911,7330
479212,219084,62836,60248,6284
562395,220000,220000,0,22000
574628,233806,76626,61180,7663
148670,224364,68116,60248,7076
311470,229890,73744,60146,7374
565369,219470,63116,60354,6312
382446,228559,72455,60104,7246
291232,220632,71142,57664,7114
246605,217928,61998,59930,6200
157745,204662,131245,45053,13124
50432,193278,57362,53151,5736
295818,234576,77123,61453,7712
196,230296,74044,60252,7404
194390,230187,71191,62996,7119
434029,231208,71626,63582,7163
575226,185187,108943,41699,10894
333977,229041,73141,59900,7314
400113,219579,64111,59468,6411
275017,227610,149841,28944,15636
460420,233735,76544,61191,7654
645774,212363,57963,58400,5796
289817,233819,77155,60664,7833
756110,181434,72799,46786,7280
509328,228826,73003,59823,7300
754820,229773,73522,60251,7352
172832,232724,75780,60944,7578
208750,213646,75390,58753,7539
