id_n,total_gross_income,total_taxable_income,total_pit,total_net_icome
158909,530559,293235,29324,0
598352,530563,305593,31130,0
232825,530565,106113,10611,0
672757,530576,333060,40672,0
466744,530596,288682,28868,0
627187,530596,288682,28868,0
127061,530599,299476,31910,0
584803,530649,301165,31826,0
167059,530673,291779,29178,0
2695,530693,288801,28889,0
524745,530702,291845,29185,0
185928,530765,301888,31550,0
535565,530771,138682,13868,0
544372,530782,299828,29983,0
618376,530785,106664,10698,0
182717,530785,296937,29694,0
333990,530808,351213,35121,0
361166,530809,357919,35792,0
99501,530821,289027,28936,0
659633,530836,288916,28903,0
97410,530850,235238,23524,0
443041,530860,311615,36243,0
205899,530875,288884,28888,0
316922,530887,292560,29256,0
569154,530902,288077,29965,0
304320,530903,263517,26396,0
335692,530913,298499,30064,0
788041,530916,288914,28891,0
92340,530920,340792,42951,0
455741,530931,294437,29502,0
511330,530948,527635,52922,0
130761,530957,309593,31190,0
27008,530986,304894,33386,0
165459,530991,356473,35647,0
563550,531065,289022,28902,0
219175,531067,327227,32810,0
380301,531070,293237,29523,0
99985,531096,106219,10622,0
755822,531106,292134,29213,0
265984,531124,300238,30053,0
551073,531126,293886,29389,0
681272,531128,289128,28924,0
15501,531141,291259,29126,0
359711,531149,289083,28908,0
121561,531153,292111,29211,0
362061,531181,478063,71709,0
668214,531185,298578,30475,0
276804,531192,289462,28946,0
106126,531198,318766,36692,0
353108,531203,292196,29220,0
343905,531230,292224,29222,0
127208,531273,297417,29872,0
13305,531276,289175,28918,0
240137,531294,192509,19251,0
286195,531333,289216,28922,0
699375,531338,296612,29661,0
709133,531343,292306,29231,0
276649,531362,292320,29232,0
579799,531369,300788,31487,0
237143,531380,304146,30415,0
304890,531413,293308,29331,0
604641,531476,289320,28932,0
247334,531482,289324,28932,0
658992,531489,312782,33202,0
81743,531518,300362,30036,0
308793,531526,293546,29355,0
431600,531567,289386,28939,0
625,531576,350610,35061,0
113545,531591,417070,53948,0
653393,531615,324866,32556,0
436433,531622,292512,29251,0
29422,531638,292520,29252,0
200309,531644,299423,30972,0
170924,531660,289454,28945,0
113246,531664,289456,28946,0
446316,531671,148099,14810,0
788064,531675,289464,28946,0
547343,531755,288792,34223,0
737114,531759,289687,28998,0
175930,531774,297759,30188,0
12763,531784,292610,29261,0
328999,531809,292559,29256,0
118410,531844,301837,30184,0
492551,531855,311441,31144,0
343540,531890,296697,30375,0
195146,531895,297454,29959,0
469746,531902,295794,29579,0
521733,531943,308598,30860,0
573691,531953,293332,29333,0
238194,531962,289672,28967,0
675896,531972,289680,28968,0
440421,531998,289699,28970,0
186449,532008,376256,52801,0
351241,532026,292716,29272,0
740632,532040,289729,28973,0
361141,532042,295825,29583,0
792746,532054,289739,28974,0
29573,532060,292826,29283,0
355009,532064,289746,28975,0
352363,532093,296309,29631,0
18389,532123,292872,29287,0
645655,532124,292872,29287,0
114911,532155,289812,28981,0
72975,532191,302715,30271,0
28920,532197,289843,28984,0
709953,532216,303711,32179,0
566823,532231,292950,29295,0
79616,532232,289868,28987,0
384103,532287,352574,35257,0
207036,532294,293030,29303,0
711967,532296,296013,29612,0
670928,532381,289306,28931,0
375534,532397,290813,29231,0
52136,532402,292436,29244,0
100763,532404,295069,29869,0
71117,532428,300152,30015,0
445056,532486,305749,37302,0
339719,532513,294499,29450,0
61085,532542,293201,29320,0
753438,532544,292197,29602,0
690587,532555,290102,29010,0
695966,532555,291967,29197,0
35661,532579,298603,32361,0
151687,532582,293270,29344,0
760443,532586,293211,29321,0
119173,532589,324312,33210,0
551040,532608,290141,29014,0
420831,532616,340525,40780,0
162392,532622,309297,31655,0
650834,532638,290662,29157,0
82388,532659,106532,10653,0
19246,532670,192961,19296,0
226985,532711,290215,29022,0
734913,532711,302934,34885,0
112026,532714,349696,34970,0
300198,532720,305542,30554,0
167332,532728,290228,29023,0
463913,532730,301840,30184,0
801800,532737,294880,30010,0
303712,532758,290250,29025,0
751601,532778,319687,36773,0
637647,532790,309341,33503,0
690560,532792,294173,29567,0
750947,532795,341729,34173,0
585599,532796,295549,29680,0
799592,532820,294542,29483,0
488794,532874,301664,30421,0
112270,532887,292369,29237,0
91921,532920,290367,29037,0
200681,532924,293608,29405,0
156737,532928,290373,29037,0
682826,532942,293465,29347,0
689874,532947,106829,10703,0
9840,532949,293470,29347,0
169697,532956,290393,29039,0
155337,532979,293407,29341,0
101801,532988,290416,29042,0
168361,532998,290424,29042,0
59229,533002,295491,29549,0
568444,533006,318949,36247,0
96498,533022,294403,29600,0
81450,533036,308748,31019,0
446603,533045,303516,31961,0
85946,533071,312152,34400,0
320067,533099,295031,29633,0
409440,533123,349853,34985,0
332324,533136,290524,29052,0
171909,533149,291450,29145,0
587648,533180,290556,29056,0
630379,533182,290557,29056,0
571668,533191,107145,10746,0
832193,533237,479913,71987,0
88634,533238,290598,29060,0
410898,533239,291663,29390,0
89707,533243,314639,31899,0
372731,533247,293601,29360,0
178339,533280,533280,53328,0
236892,533307,292733,29273,0
419165,533326,321218,37117,0
242348,533328,318251,31825,0
749476,533328,533328,53333,0
377047,533328,533328,53333,0
176882,533354,106671,10667,0
11085,533372,294361,29436,0
14027,533373,198793,21878,0
297966,533378,325732,32776,0
379862,533391,480052,72008,0
388928,533392,293154,29315,0
438609,533419,307273,30727,0
658139,533432,293126,29747,0
639587,533433,290739,29074,0
190403,533475,294839,29484,0
226920,533494,293977,29398,0
59969,533528,290971,29097,0
430623,533537,318681,31868,0
162139,533540,292503,29250,0
760434,533555,282575,29507,0
594318,533577,219918,22202,0
769485,533630,106726,10673,0
184359,533637,297609,29761,0
713072,533653,290898,29090,0
702149,533656,297726,30461,0
282696,533659,140559,14464,0
674533,533663,291334,29133,0
745530,533670,294019,29402,0
158233,533680,450248,57147,0
523344,533689,294220,29461,0
740486,533713,290942,29094,0
8167,533714,304817,31893,0
404663,533723,298552,29855,0
427141,533725,317229,31723,0
684873,533759,290975,29098,0
97290,533767,331034,33339,0
225730,533815,294143,29650,0
709704,533834,294112,29411,0
407757,533836,293392,29435,0
793731,533839,294163,29416,0
