id_n,Salaries
1634,9433
552190,10000
771847,3100
729236,24
831672,3333
682236,222
844227,4412
98546,2353
130477,689
155020,4771
80643,3910
39673,3450
367536,2069
573619,5614
836879,12995
738282,530
519827,11209
379644,9134
138217,13432
847513,2117
65475,8195
44596,11520
556295,2353
313303,1260
568755,2244
854786,522
461857,1949
854835,8680
853378,2408
833107,330
882586,1412
843469,4270
853492,4250
272595,424
235186,2778
413498,13333
648284,3074
831079,11111
855642,1047
713360,204
263674,6666
849932,2190
767555,1372
139494,4706
68286,7627
679507,1894
42149,1800
280550,1474
853622,6650
136474,1521
823139,3124
423471,8241
876293,1176
225887,232
263876,530
506798,3566
410365,6087
180892,615
856907,3529
186861,428
772952,319
858452,4708
591822,2038
855313,306
348484,10858
828188,7392
856914,7000
43218,3243
777598,3209
866259,2750
871741,10901
381332,14072
323688,4943
235095,2457
859650,10272
860620,1102
305203,560
372242,2353
718547,7578
849958,12214
691494,218
825351,11195
847616,4549
200035,5297
869955,4444
556934,653
846522,333
875355,693
411440,1202
271099,9502
830651,1310
66479,8471
246507,13039
585749,7778
100263,2701
175541,1613
61953,132
770216,6452
172911,2882
573060,4987
880686,12147
871347,3529
218752,1220
839709,3070
830422,10506
39757,6361
562957,9994
421875,12269
843284,3049
110653,1964
840625,2353
858366,127
848680,2000
634014,8400
227613,12594
829841,5921
456492,12320
